21432,sp2021,"1"
20633,sp2021,"1"
32226,sp2021,"1"
32227,sp2021,"1"
20242,sp2021,"1"
20050,sp2021,"1"
20972,sp2021,"1"
29079,sp2021,"1"
29080,sp2021,"1"
22372,sp2021,"1"
23356,sp2021,"1"
27846,sp2021,"1"
25092,sp2021,"1"
31245,sp2021,"1"
20954,sp2021,"1"
31247,sp2021,"1"
32907,sp2021,"1"
29068,sp2021,"1"
29469,sp2021,"1"
25050,sp2021,"1"
25049,sp2021,"1"
20154,sp2021,"1"
29071,sp2021,"1"
32506,sp2021,"1"
32507,sp2021,"1"
32855,sp2021,"1"
22193,sp2021,"1"
24528,sp2021,"1"
24529,sp2021,"1"
32858,sp2021,"1"
26068,sp2021,"1"
31244,sp2021,"1"
24527,sp2021,"1"
25095,sp2021,"1"
25096,sp2021,"1"
25097,sp2021,"1"
25094,sp2021,"1"
32228,sp2021,"1"
33555,sp2021,"1"
29069,sp2021,"1"
26067,sp2021,"1"
21085,sp2021,"1"
20173,sp2021,"1"
32502,sp2021,"1"
25190,sp2021,"1"
25192,sp2021,"1"
29070,sp2021,"1"
31252,sp2021,"1"
22134,sp2021,"1"
23065,sp2021,"1"
20169,sp2021,"1"
31248,sp2021,"1"
31246,sp2021,"1"
33233,sp2021,"1"
24558,sp2021,"1"
31249,sp2021,"1"
24426,sp2021,"1"
33282,sp2021,"1"
31250,sp2021,"1"
23331,sp2021,"1"
27114,sp2021,"1"
28947,sp2021,"1"
13653,fa2021,"1"
13654,fa2021,"1"
14466,fa2021,"1"
14467,fa2021,"1"
14468,fa2021,"1"
14465,fa2021,"1"
14753,fa2021,"1"
15448,fa2021,"1"
14928,fa2021,"1"
15339,fa2021,"1"
18352,fa2021,"1"
10873,fa2021,"1"
15056,fa2021,"1"
21096,fa2021,"1"
14754,fa2021,"1"
14845,fa2021,"1"
21219,fa2021,"1"
21098,fa2021,"1"
18467,fa2021,"1"
10052,fa2021,"1"
17915,fa2021,"1"
17984,fa2021,"1"
13652,fa2021,"1"
13713,fa2021,"1"
14844,fa2021,"1"
14843,fa2021,"1"
14751,fa2021,"1"
16920,fa2021,"1"
20816,fa2021,"1"
18681,fa2021,"1"
20819,fa2021,"1"
14752,fa2021,"1"
16332,fa2021,"1"
18025,fa2021,"1"
16346,fa2021,"1"
16449,fa2021,"1"
10164,fa2021,"1"
17739,fa2021,"1"
17740,fa2021,"1"
14104,fa2021,"1"
13210,fa2021,"1"
16919,fa2021,"1"
10677,fa2021,"1"
10676,fa2021,"1"
15447,fa2021,"1"
12947,fa2021,"1"
14338,fa2021,"1"
14921,fa2021,"1"
14337,fa2021,"1"
13303,fa2021,"1"
11324,fa2021,"1"
20817,fa2021,"1"
21215,fa2021,"1"
21308,fa2021,"1"
13839,fa2021,"1"
20818,fa2021,"1"
20820,fa2021,"1"
21216,fa2021,"1"
18054,fa2021,"1"
18117,fa2021,"1"
